title,genre,age,poster_url,release_date
맨인블랙박스,시사교양,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202307/1689928200728601875.jpg,
그것이알고싶다,시사교양,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2022/S01_V0000010101-Vertical_LogoY.jpg,
1박2일 시즌4,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/K02_T2005-0230_1-2.jpg,
미스터 로또,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202305/1684114201064703606.jpg,
대탈출3,애니메이션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_270_20_80/BMS/CR02/2016/CR02_DN0000000018/CR02_DN0000000018_01_0005.jpg,
태어난 김에 세계일주2,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202306/1687325323598447937.jpg,
슈퍼맨이돌아왔다,예능,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2022/K02_T2013-0476-Vertical_LogoY.jpg,
동상이몽 2 너는 내 운명,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1694567852805413920.jpg,
나 혼자산다,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202311/1699601487098289299.jpg,
미운우리새끼,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1694567889921781949.jpg,
궁금한이야기Y,시사교양,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202310/1698381900645399156.jpg,
뿅뿅 지구오락실2,드라마,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVProgram/2023/PRG_S01_V0000345179-Vertical_LogoY.jpg,
세컨 하우스2,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202305/1685433600767804031.jpg,
SBS인기가요,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202307/1690359301014886288.jpg,
복면가왕,예능,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1694764800740885990.png,
정글의 법칙 in 코타 마나도,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_270_20_80/BMS/201701/20170109/dbxscvlsjxqdyof.jpg,
살림하는 남자들 2,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/202302/20230221/5d00df9888881c85d480df9eb9505117.jpg,
황금어장 라디오스타,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_270_20_80/201909/20190919/8974d3da02449358e4a4e09f5ab10c17.jpg,
스트릿 우먼 파이터 2,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_270_20_80/202110/20211012/fd440f1e47ea5b308fcc43d23680bc42.jpg,
물 건너온 아빠들,예능,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2022/M_T70675G-Vertical_LogoY.jpg,
세상에이런일이,시사교양,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202306/1685689201086120429.jpg,
더시즌즈 박재범의 드라이브,예능,15세 관람가,https://image.wavve.com/v1/thumbnails/480_270_20_80/202302/20230206/c6980c786364cd59f0f3dfd65b2c49a9.jpg,
