title,제작년도,장르,연령,poster_url
바다탐험대 옥토넛 시즌2,2016,"애니메이션, 어드벤처","'전체관람가', '68분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F51af095a97ecf21ba64ae52ee7633a26be58c872"""
명탐정코난 15기,2011,"애니메이션, 스릴러, 액션","'전체관람가', '109분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F17742E544E1582600B"""
꽁꽁꽁,2017,"애니메이션, SF, 어드벤처","'전체관람가', '101분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F0c123ee68579e8be1a9046b60b5dbd77e4cdb138"""
네멋대로해라,2017,드라마,"'15세이상관람가', '107분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fd93f5b86a7472f7a428ecc1bb6f6e0d865930948"""
이 죽일놈의 사랑,2017,"액션, 드라마",'110분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F9b883a38d9dc8c5a495ccc4e3eaedccf2db51df5"""
최고의사랑,2011,"드라마, 로맨스/멜로","'15세이상관람가', '97분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F23b4a8cfc18541b37fb655343294e3fb4fe2c7ca"""
짱구는 못말려  동물소환 닌자 배꼽수비대,2022,"애니메이션, 코미디, 가족","'전체관람가', '100분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fdea3a62914133f571a8a7ef336d893f096426335"""
짱구는 못말려 21기,2013,"애니메이션, 코미디, 어드벤처","'전체관람가', '96분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2551FE485338E0A70E"""
소드아트 온라인,2021,애니메이션,"'12세이상관람가', '97분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F08f419cbf4467bb2bd9ea59132a53e3fcffe52ba"""
블리치3기,2008,"판타지, 어드벤처, 애니메이션",'94분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F156C5E10B2484A0975"""
