title,genre,age,poster_url
출동! 슈퍼윙스5,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202205/C7201_C72000000105-2.jpg
출동! 슈퍼윙스6,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202205/C7201_C72000000105-2.jpg
에디의 비밀,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_270_20_80/202209/20220929/96b51dec5eec2f78a75c60c54bedd38d.jpg
뽀롱뽀롱 뽀로로 시즌6,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202209/F2301_F23000000221-2.jpg
자석 놀이,시사교양,모든연령,https://image.wavve.com/v1/thumbnails/480_270_20_80/BMS/201209/20120921/tgtbxcslprowafv.jpg
고창 2부,예능,,https://image.wavve.com/v1/thumbnails/480_270_20_80/202103/20210325/871e770e6d98de513e335c976f27a8de.jpg
고창 1부,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_270_20_80/202006/20200624/96cbb7104cf62e8d0631833d7bd2a12d.jpg
전라남도 여수 2부,드라마,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_CV01_KE0000011799-Vertical_LogoY.jpg
명탐정코난 2023,애니메이션,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_SS01_SS000000002-Vertical_LogoY-re.jpg
돌싱글즈4,예능,,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202307/1689918136825746964.jpg
이리지니TV,크리에이터,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/F5001_F50000000077-Vertical_LogoY.jpg
집사TV,시사교양,모든연령,https://image.wavve.com/v1/thumbnails/480_270_20_80/meta/image/202311/1699617602692657868.jpg
띠띠뽀 띠띠뽀 시즌1,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202209/F2301_F23000000241-2.jpg
크니쁘니히어로즈,키즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/F2201_F22000000005-Vertical_LogoY.jpg
뽀로로와 노래해요 NEW 1,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202209/F2301_F23000000228-2.jpg
뽀롱뽀롱 뽀로로 NEW 1,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202209/F2301_F23000000216-2-RE.jpg
뚜뚜와 통통이,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_270_20_80/fz/202209/20220929/e4e4ffbb801c2a7b1b90da7e27aed935.jpg
경남 통영 2부,예능,,https://image.wavve.com/v1/thumbnails/480_270_20_80/BMS/ContentImg/K02_PS-1N2DS1-3-000/2019021411265173.jpg
라바 인 뉴욕,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/201908/C8201_C82000000128_2.jpg
무림유협기,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1694665954010509809.jpg
연희공략 건륭황제의여인,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2023/C5101_C51000000061-Vertical_LogoY.jpg
경이로운 소문  경이로운 몰아보기,예능,,https://image.wavve.com/v1/thumbnails/480_270_20_80/meta/image/202308/1692922500571736156.jpg
구주천공성 2 ,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202009/C8401_C84000000063-2.jpg
진격적황후1,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1695173097595586998.jpg
벽혈검 1985,해외시리즈,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202003/C5101_C51000000110-2.jpg
월간 아기상어,키즈,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202108/C9601_C96000000087-2.jpg
다큐인사이트 미래전쟁,시사교양,모든연령,https://image.wavve.com/v1/thumbnails/480_270_20_80/202304/20230410/b76d0de2f9d333dda01007348421da18.jpg
SDF2022 비호감정치와의이별선언,시사교양,모든연령,https://image.wavve.com/v1/thumbnails/480_720_20_80/202210/20221027/c6e704d6631ff0ffe481d0c356a0e853.jpg
꼬리에 꼬리를 무는 그날 이야기 2,시사교양,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/TVSeason/2022/S01_P453995091-Vertical_LogoY.jpg
슈가맨 리턴즈,SF/판타지,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_CD01_WR0000011387-Vertical_LogoY-re.jpg
